x1,x2
1012,801
1034,1284
644,943
879,1139
1126,925
620,966
2048,1078
1300,1310
814,1077
1145,910
986,730
568,1024
1146,557
874,1112
912,1404
1104,1336
666,1107
699,547
885,1507
1047,916
925,1389
1136,791
892,1490
902,967
487,1056
1002,1188
606,767
862,763
1193,963
1360,1460
1626,1307
1446,521
990,1080
871,1708
975,1233
747,974
1539,753
1228,1089
1366,1076
804,827
1253,1474
1175,1081
1622,995
990,1121
742,917
1428,1182
1082,431
1197,982
715,1462
1095,1327
1202,1353
796,1095
856,780
874,1045
1028,1322
518,560
1057,504
1042,957
977,1122
699,1088
1505,1122
1062,911
940,956
781,1026
747,1455
1053,1254
550,633
616,1238
985,669
732,871
1040,1163
545,611
1101,771
1101,839
995,916
1036,876
1096,925
1024,849
680,1464
1368,802
1517,1174
979,730
901,1156
855,1139
1535,1211
983,1561
914,1609
923,1255
1510,1239
1484,978
498,1119
956,1261
1155,1464
1103,1305
1243,970
527,972
1180,502
1351,606
926,965
497,642
1410,728
551,419
1305,1578
954,1081
1851,601
578,804
1088,940
825,880
1403,1010
487,699
881,896
636,903
1030,445
1540,1091
1070,979
1271,741
1416,1227
475,866
905,615
919,1261
857,1435
1770,1281
818,730
690,1325
1008,1001
796,926
1228,1066
753,854
1319,942
629,438
1581,1581
934,1006
822,1290
759,1516
1324,693
862,1479
1174,540
1491,824
1106,1019
1585,1063
834,962
729,996
882,1097
1116,687
716,1015
892,1401
851,1043
849,570
1066,1492
1320,794
894,1019
895,546
1126,629
507,855
917,913
1366,516
852,645
402,613
1156,1325
1256,412
1022,1107
834,931
962,741
1270,1237
1093,1351
860,617
1039,1441
586,1303
1488,1275
1331,1385
864,829
603,832
675,875
1041,411
631,1102
824,1178
940,986
1253,649
670,409
836,839
683,1150
1012,862
931,789
1125,918
862,923
532,479
1428,1297
910,1219
1378,1373
497,945
1496,1041
1319,935
630,820
660,211
1512,1466
1233,910
674,859
899,911
1367,1160
1370,1368
450,223
834,675
854,895
657,892
1393,761
1015,910
1304,845
679,917
647,343
1188,1729
1367,922
1097,876
681,1504
684,449
967,652
1407,858
899,1136
855,461
1535,967
851,1327
1057,1246
697,1458
668,1134
688,1193
1298,1148
932,1582
1246,693
1390,614
549,1334
1270,1510
1375,681
1274,814
1127,1224
1157,1380
963,944
1410,927
1044,1375
1118,1344
1258,838
847,977
619,809
726,981
874,1435
810,1255
1379,921
1359,952
954,888
714,1085
948,1098
1212,1094
1084,1369
1336,316
835,1389
559,1245
585,892
1505,389
675,1073
1249,872
770,693
1075,780
969,1330
1244,1243
1237,773
1508,862
1335,1545
1473,575
949,881
341,624
780,1118
1560,864
958,1255
979,670
736,1534
1026,506
1380,1198
1019,460
873,1003
588,1237
1232,934
1179,1463
1049,771
831,339
1263,1392
923,722
761,1184
297,758
1271,1081
1027,589
1294,632
875,987
1232,926
1069,942
1370,1246
697,549
806,1051
970,1147
840,796
1099,905
724,1321
834,993
1247,961
1008,813
1032,1048
326,1340
916,914
688,1228
817,1275
1244,1171
753,1041
696,1099
1154,835
1203,851
1266,817
1024,875
1459,1466
920,1569
981,836
650,1095
482,559
828,932
1138,1196
849,1012
1093,945
1038,890
728,1114
1106,707
733,1254
1122,1291
879,980
980,1015
563,1538
928,1024
1186,563
1289,1487
1325,829
959,1282
776,877
656,513
534,1089
978,580
842,1339
1247,707
1404,1223
1056,1252
899,850
894,1374
1109,1006
1111,1421
998,1248
499,1047
975,1331
1669,1033
892,1128
779,576
1289,988
753,1693
1099,469
1163,1200
505,1134
898,1096
846,1529
1197,1171
1407,1093
969,1022
808,427
1473,745
1007,898
717,1090
741,810
1329,919
1249,1169
1131,1082
554,1159
1046,1294
805,1391
943,1105
1307,1091
1076,1245
1277,1114
714,1244
1493,1410
1100,1172
864,1386
508,761
419,508
1285,1382
1190,830
634,1163
893,577
902,1021
1226,853
946,1235
943,845
905,868
1080,831
1362,1194
1210,634
823,891
1415,969
784,913
1380,693
1401,729
1243,825
613,299
426,1010
1223,1201
527,1390
1150,588
1386,560
960,815
1206,1034
1120,1297
1151,1149
564,1283
1309,831
1668,811
1099,1524
884,1387
1028,864
1580,855
1486,849
710,882
1882,1193
1115,823
422,896
711,763
1187,628
865,729
1313,765
497,1178
954,1219
983,927
533,1424
1177,1241
1579,990
1162,488
1596,944
683,704
494,1644
1074,1417
1482,1506
1000,989
1255,1357
1111,1515
780,1156
818,1053
813,835
625,780
542,1324
1177,1071
1089,888
861,1002
755,748
1137,1429
1225,649
1083,723
776,973
1016,1207
575,851
1500,779
1268,979
1080,677
1571,1240
1022,894
1016,1326
822,908
1250,1097
603,652
735,1303
1050,1036
1007,1382
1112,1543
629,585
862,1537
882,1264
589,844
725,819
915,934
964,1348
626,1091
963,1116
1276,1016
787,1223
1579,1106
1191,720
1121,822
768,881
1382,1160
1295,1062
1321,1168
879,988
1019,1023
700,785
546,957
1725,847
1425,1338
1254,973
970,1197
1327,759
662,1101
1205,1149
713,1118
818,1057
949,646
1579,906
1005,831
1271,768
1050,946
1471,1204
1383,827
1521,1250
1074,1139
800,945
1020,1434
934,1832
865,1686
1129,708
776,881
1281,469
436,583
671,676
680,755
594,903
1299,1476
867,951
1070,952
961,1225
600,886
863,715
1078,932
564,892
1035,1137
1267,1844
1160,629
1594,789
818,708
788,1207
748,891
721,720
851,723
898,997
954,1521
1023,1282
629,1406
950,306
889,782
794,1266
418,1111
1334,532
840,1033
1457,1278
1244,961
888,958
1902,504
1211,559
639,1599
1348,836
750,732
1025,634
1182,1256
834,1239
874,1329
1101,435
743,1092
999,817
1228,1728
830,784
578,1083
1332,936
506,1200
1261,844
972,593
1119,1334
599,782
864,1464
1334,498
1048,1115
1523,956
1336,682
1645,1189
881,1074
572,714
622,712
678,1234
839,856
1340,1249
754,926
872,1079
1271,831
1615,751
1112,871
1061,247
757,854
1154,1336
704,409
1013,926
374,1274
1029,797
903,1030
762,811
795,673
1003,987
849,1391
1518,664
756,1670
1148,1068
1295,1029
922,653
1132,1010
786,783
1255,571
1279,373
863,1089
917,1051
1054,975
708,1222
800,1292
1242,918
1166,1376
1433,1109
1097,1317
1200,1492
717,942
519,1177
930,1017
1251,1150
1356,866
982,1381
680,1181
1166,509
956,910
883,860
1377,1523
1123,1435
1122,871
1024,437
956,908
672,793
1075,1111
1146,1250
875,1041
949,1040
1403,795
994,1295
748,1084
1014,538
930,1098
1050,1445
977,876
1518,1021
812,1057
795,1230
808,748
1385,1465
527,1236
1435,1118
1458,1046
494,981
780,1116
621,906
1139,1360
823,853
1504,293
478,866
1250,1061
872,644
517,1519
1176,795
545,596
956,1026
1455,570
1271,597
1160,575
1095,1414
951,1169
1046,1283
1394,930
853,901
1294,968
1535,1095
521,488
1341,1088
996,1467
1024,1272
803,1252
927,1502
1238,1364
659,1393
1140,1440
1066,1128
914,1185
1344,1367
526,1132
889,783
449,1262
973,1044
509,1021
1426,956
1173,1063
1052,975
945,1189
636,912
1594,836
850,1196
921,408
831,1053
739,1504
1304,812
722,1075
767,656
847,1182
985,1311
909,1190
1033,1148
906,968
953,889
895,1106
1375,1236
1355,1403
585,920
1322,1435
374,1017
479,1576
1051,1345
1542,1349
822,96
1146,1044
1336,1119
975,1303
957,973
1298,1559
1536,754
1558,804
1086,1156
1059,991
1352,984
842,982
1111,1198
797,1343
1455,951
1408,1327
1005,725
1200,1778
1143,1018
1179,512
1611,1107
807,1363
1515,747
683,859
1361,620
1142,968
1257,225
1141,818
1322,617
870,926
574,845
660,1428
