x1,x2
2128,2317
1794,2522
3087,2482
3174,2492
3408,2718
3195,2080
3030,2605
2097,2401
2125,2344
1784,2217
1790,2237
2101,2389
3177,2193
3160,2135
2179,2381
3216,2426
3223,2413
2071,2335
3300,2624
1864,2489
2166,2320
3210,2213
1952,2269
3262,2581
3182,2513
3270,2744
1786,2612
1751,2062
1869,2121
3077,2677
3212,2574
1923,2591
3271,2151
1799,2402
2128,2367
3189,2484
2105,2314
1877,1963
1920,2219
1892,2715
1817,2605
3221,2381
1728,2189
1953,2584
1924,2175
3215,2131
3282,2071
3256,2184
1782,2631
3083,2625
1888,2631
1660,2511
1797,2110
2084,2350
1815,2560
1884,2595
1986,2354
1872,2060
3175,2171
3151,2669
1697,2140
3100,2505
3196,2104
2052,2367
1829,2540
1823,2643
2053,2320
3320,2197
3272,2205
3146,2773
1913,2475
3254,2145
3128,2664
1894,2205
3203,2514
3209,2099
1876,2093
2065,2407
2113,2464
3235,2591
1865,2071
3174,2048
2101,2436
1770,2710
2054,2375
2086,2012
3288,2151
1842,2074
1807,1904
2092,2314
3235,2019
3141,2198
2065,2431
2171,2353
2166,2393
3229,2661
2103,2297
3256,2093
1816,2512
1790,2510
1921,2627
2124,2393
3244,2159
3170,2097
3259,2554
3126,2659
3193,2439
1908,2055
1792,2135
1869,2076
2157,2279
1651,2180
1861,2058
3288,2219
3270,2129
1940,2575
3206,2055
3143,2079
1827,2088
1816,2299
1996,2395
3353,2476
1917,2158
1850,2531
1929,2154
1983,2395
3219,2226
3373,2779
1962,2209
2105,2305
3200,2259
3178,2132
1878,2615
1907,2543
1991,2163
3306,2452
2200,2407
1796,2510
1884,2567
2073,2484
2097,2424
1883,2307
2046,2287
1854,2546
3408,2526
1982,2557
3234,2522
1953,2128
2046,2201
3259,2163
1944,2208
1967,2568
3189,2675
3185,2509
3423,2656
1729,2415
1737,2670
2017,2081
1772,2072
1762,2744
2188,2380
2029,2390
1869,2020
1858,2207
2116,2449
3278,2540
3252,2688
3259,2182
3168,2045
1970,2355
3002,2612
2186,2306
1919,2204
1799,2567
1804,2098
3150,2163
3184,2129
3251,2423
3295,2108
3264,2463
1882,2173
3137,2181
3186,2246
1879,2018
1788,2174
2099,2455
1878,1846
2062,2348
3331,2599
3162,2240
1827,2608
2237,2386
1771,2576
3238,2129
2089,2408
3221,2648
2047,2352
1839,2056
3197,2051
3208,2191
2093,2467
2141,2441
3216,2529
2111,2456
3150,2587
1837,2568
3161,2092
2085,2348
1898,2441
1716,2230
