comp_1,comp_2,comp_3,comp_4,comp_5,comp_6,comp_7,comp_8,comp_9,comp_10,labels
0.206442902,-0.036380606,0.019230204,0.160700221,0.115360755,0.007322991,0.02729346,-0.039799054,-0.033058786,-0.024245583,0
0.279679929,-0.204532973,0.105964506,0.228519176,0.234052141,-0.009728715,0.005956273,0.021015778,-0.032998196,0.007297945,0
0.185240715,-0.0630711,0.020435833,0.037843288,0.034261322,-0.026177951,-0.018258766,0.013957837,-0.011473237,-0.006310567,0
0.10837431,-0.04145092,0.017840151,0.023276819,0.031134863,-0.013631213,-0.009939381,-0.007253544,-0.001339679,-0.014897096,0
0.084078795,0.039763906,-0.027513843,0.023029126,-0.031730239,0.018090391,0.045299689,-0.027804053,0.014532879,0.010736001,0
0.196676332,-0.149813878,0.076792795,0.189589616,0.197173453,0.000933777,-0.04600359,0.012736077,-0.057087725,0.028715575,0
0.065612268,-0.028595251,0.011388043,0.002636908,-0.00964794,0.009701575,-0.01294468,-0.007569383,0.018290979,-0.02145995,0
0.107656931,-0.084089332,0.040536819,0.081736846,0.062945149,-0.008999758,0.008114971,-0.037398981,0.042460343,-0.040748813,0
0.127249505,-0.097825064,0.04092429,0.03017852,0.033300878,0.192883181,0.089423543,0.144375734,0.046028455,0.00197547,0
0.090248024,-0.029911853,0.014202553,-0.013113105,-0.003873097,0.080844697,-0.011110917,-0.00454315,0.026290961,-0.020452053,0
0.100077711,-0.04023757,0.012685535,-0.008281783,-0.002825999,0.052905004,0.014456383,0.042336135,0.010685023,-0.000887807,0
0.113337147,-0.050772332,0.017638112,-0.007176543,0.015700433,0.046369507,-0.01521895,0.044830733,-0.002082292,0.033137999,0
0.091029659,-0.038353608,0.018596027,0.014654814,0.037178837,0.031734761,-0.009227646,-0.042021701,-0.021305025,0.017815917,0
0.083752561,-0.057410789,0.02839349,0.028133359,0.017631956,0.011296709,0.004534318,-0.007430391,0.022336456,-0.017329002,0
0.188092598,-0.087233217,0.030867853,-0.004690606,0.025255565,-0.011742658,0.015415187,0.098383588,0.058607537,0.019019811,0
0.163827026,-0.102258684,0.041209601,0.023159282,0.010649932,-0.031719262,0.03528599,0.061274041,0.027870342,-0.007407021,0
0.094078175,-0.064776932,0.027010676,0.01032323,-0.004502328,0.000959632,0.052795266,0.021975235,0.040870672,0.00312549,0
0.124497743,-0.035371378,0.011301547,0.019268065,-0.020127374,0.014669845,0.044537337,-0.005144732,0.003022281,0.018924139,0
0.120716065,-0.060097076,0.029089486,-0.000793583,-0.002621929,0.027997758,0.001246468,-0.013982052,0.020776123,-0.001270277,0
0.192429966,-0.099730364,0.040914253,0.009134769,-0.004686047,0.063021407,0.04361033,0.008663233,0.034136271,-0.021506124,0
0.233381264,-0.050083375,0.015252955,0.005971057,-0.002897944,0.038025135,-0.013962722,0.006367013,-0.011919962,0.026018448,0
0.175015652,-0.049034842,0.015512659,0.010062716,0.050749001,-0.021337968,-0.002420303,0.032936569,-0.010353092,-0.030216518,0
0.09189233,-0.027859579,0.012234102,-0.004062537,0.017891014,0.018819507,-0.005619446,0.001222967,-0.002514842,-0.009075216,0
0.085085942,-0.004840283,-0.000665766,0.003661539,-0.039554347,0.050084948,-0.039131082,-0.042538799,-0.002660137,-0.005930653,0
0.09418674,-0.059358608,0.031536392,0.051743341,0.062577379,0.03574318,-0.026192035,0.006376306,-0.021003253,0.023038577,0
0.223566356,-0.141394054,0.059201225,0.0381767,0.053173245,0.08767804,0.092873368,0.143057861,0.051331212,-0.02282045,0
0.105731261,-0.075926704,0.032843602,-0.001288626,0.022725045,0.225517155,0.068651323,0.122765248,0.030078686,0.022121219,0
0.094084163,0.003002792,-0.002454196,-0.028256293,0.001120102,0.031206738,-0.014815733,-0.043431962,-0.004837678,-0.019373853,0
0.089773161,-0.011130858,0.001150609,-0.028707168,-0.012214478,0.022978993,0.008097331,-0.022524604,-0.014710995,0.015455261,0
0.109587123,-0.071728504,0.036020521,0.049356709,0.03971706,0.020200789,-0.01757057,-0.034072356,-0.003742345,0.008076435,0
0.122609111,-0.058556401,0.026421521,-0.001472714,-0.005618908,0.019424497,-0.005385139,-0.003532073,0.014770768,-0.012324681,0
